generated_at_utc,municipality,municipality_display,region,lat,lon,temperature_f,feels_like_f,relative_humidity,heat_risk_level,heat_action,temperature_plain_text,is_focus_municipality
2026-07-03T21:41:18+00:00,Ponce,Ponce,south_coast,18.011,-66.614,85.5,91.3,63,vigilancia,Observar cambios durante la tarde y preparar comunicación preventiva si aumenta el calor.,"Ponce: temperatura 85.5 °F, sensación térmica 91.3 °F, humedad 63 %, riesgo de calor vigilancia. Observar cambios durante la tarde y preparar comunicación preventiva si aumenta el calor.",True
2026-07-03T21:41:18+00:00,San German,San Germán,west,18.082,-67.044,82.8,90.9,80,vigilancia,Observar cambios durante la tarde y preparar comunicación preventiva si aumenta el calor.,"San Germán: temperatura 82.8 °F, sensación térmica 90.9 °F, humedad 80 %, riesgo de calor vigilancia. Observar cambios durante la tarde y preparar comunicación preventiva si aumenta el calor.",True
2026-07-03T21:41:18+00:00,San Juan,San Juan,north_coast,18.465,-66.105,82.5,90.5,82,vigilancia,Observar cambios durante la tarde y preparar comunicación preventiva si aumenta el calor.,"San Juan: temperatura 82.5 °F, sensación térmica 90.5 °F, humedad 82 %, riesgo de calor vigilancia. Observar cambios durante la tarde y preparar comunicación preventiva si aumenta el calor.",True
2026-07-03T21:41:18+00:00,Juana Diaz,Juana Díaz,south_coast,18.053,-66.506,83.9,89.1,66,bajo,Monitoreo normal.,"Juana Díaz: temperatura 83.9 °F, sensación térmica 89.1 °F, humedad 66 %, riesgo de calor bajo. Monitoreo normal.",True
2026-07-03T21:41:18+00:00,Bayamon,Bayamon,north_coast,18.399,-66.156,84.0,93.8,79,vigilancia,Observar cambios durante la tarde y preparar comunicación preventiva si aumenta el calor.,"Bayamon: temperatura 84.0 °F, sensación térmica 93.8 °F, humedad 79 %, riesgo de calor vigilancia. Observar cambios durante la tarde y preparar comunicación preventiva si aumenta el calor.",False
2026-07-03T21:41:18+00:00,Arecibo,Arecibo,north_coast,18.472,-66.716,82.5,90.5,82,vigilancia,Observar cambios durante la tarde y preparar comunicación preventiva si aumenta el calor.,"Arecibo: temperatura 82.5 °F, sensación térmica 90.5 °F, humedad 82 %, riesgo de calor vigilancia. Observar cambios durante la tarde y preparar comunicación preventiva si aumenta el calor.",False
2026-07-03T21:41:18+00:00,Cabo Rojo,Cabo Rojo,west,18.086,-67.145,82.2,90.3,84,vigilancia,Observar cambios durante la tarde y preparar comunicación preventiva si aumenta el calor.,"Cabo Rojo: temperatura 82.2 °F, sensación térmica 90.3 °F, humedad 84 %, riesgo de calor vigilancia. Observar cambios durante la tarde y preparar comunicación preventiva si aumenta el calor.",False
2026-07-03T21:41:18+00:00,Aguada,Aguada,west,18.379,-67.188,82.3,90.1,82,vigilancia,Observar cambios durante la tarde y preparar comunicación preventiva si aumenta el calor.,"Aguada: temperatura 82.3 °F, sensación térmica 90.1 °F, humedad 82 %, riesgo de calor vigilancia. Observar cambios durante la tarde y preparar comunicación preventiva si aumenta el calor.",False
2026-07-03T21:41:18+00:00,Anasco,Anasco,west,18.282,-67.14,82.2,90.1,83,vigilancia,Observar cambios durante la tarde y preparar comunicación preventiva si aumenta el calor.,"Anasco: temperatura 82.2 °F, sensación térmica 90.1 °F, humedad 83 %, riesgo de calor vigilancia. Observar cambios durante la tarde y preparar comunicación preventiva si aumenta el calor.",False
2026-07-03T21:41:18+00:00,Aguadilla,Aguadilla,west,18.427,-67.154,82.9,90.0,76,vigilancia,Observar cambios durante la tarde y preparar comunicación preventiva si aumenta el calor.,"Aguadilla: temperatura 82.9 °F, sensación térmica 90.0 °F, humedad 76 %, riesgo de calor vigilancia. Observar cambios durante la tarde y preparar comunicación preventiva si aumenta el calor.",False
2026-07-03T21:41:18+00:00,Barceloneta,Barceloneta,north_coast,18.45,-66.538,82.2,89.7,82,bajo,Monitoreo normal.,"Barceloneta: temperatura 82.2 °F, sensación térmica 89.7 °F, humedad 82 %, riesgo de calor bajo. Monitoreo normal.",False
2026-07-03T21:41:18+00:00,Arroyo,Arroyo,south_coast,17.965,-66.061,82.5,88.6,75,bajo,Monitoreo normal.,"Arroyo: temperatura 82.5 °F, sensación térmica 88.6 °F, humedad 75 %, riesgo de calor bajo. Monitoreo normal.",False
2026-07-03T21:41:18+00:00,Aguas Buenas,Aguas Buenas,central_mountains,18.256,-66.103,80.0,84.3,81,bajo,Monitoreo normal.,"Aguas Buenas: temperatura 80.0 °F, sensación térmica 84.3 °F, humedad 81 %, riesgo de calor bajo. Monitoreo normal.",False
2026-07-03T21:41:18+00:00,Adjuntas,Adjuntas,central_mountains,18.163,-66.723,76.3,76.3,82,bajo,Monitoreo normal.,"Adjuntas: temperatura 76.3 °F, sensación térmica 76.3 °F, humedad 82 %, riesgo de calor bajo. Monitoreo normal.",False
2026-07-03T21:41:18+00:00,Barranquitas,Barranquitas,central_mountains,18.186,-66.306,76.0,76.0,86,bajo,Monitoreo normal.,"Barranquitas: temperatura 76.0 °F, sensación térmica 76.0 °F, humedad 86 %, riesgo de calor bajo. Monitoreo normal.",False
2026-07-03T21:41:18+00:00,Aibonito,Aibonito,central_mountains,18.139,-66.266,75.9,75.9,81,bajo,Monitoreo normal.,"Aibonito: temperatura 75.9 °F, sensación térmica 75.9 °F, humedad 81 %, riesgo de calor bajo. Monitoreo normal.",False
